# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
-0.72842222	29517.198	12269.677	40.898923
-0.71271111	14212.477	12040.526	40.135085
-0.72831111	14545.157	8703.922	29.013073
-0.74188889	29478.533	12261.638	40.872127
-0.73344444	19430.494	10905.024	36.350079
-0.73217778	29503.118	12266.75	40.889167
-0.69548889	19390.115	10006.463	33.354876
-0.73244444	19018.807	12062.375	40.207917
-0.71762222	29341.751	12233.158	40.777192
-0.70993333	28987.95	12159.181	40.530602
-0.72304444	11512.932	8567.7526	28.559175
-0.68511111	27833.573	11914.616	39.715386
-0.662	18511.164	10305.917	34.353057
-0.61122222	10465.611	8735.2309	29.117436
-0.73917778	28360.809	12026.933	40.089775
-0.70797778	29057.682	12173.797	40.579322
-0.74148889	29290.122	12222.39	40.741301
-0.72662222	29294.369	12223.276	40.744255
-0.66713333	28357.457	12026.222	40.087405
-0.70131111	18289.75	9692.6402	32.308801
-0.71384444	14027.307	9885.1234	32.950411
-0.70228889	28148.931	11981.923	39.939743
-0.73048889	27027.184	11740.753	39.135845
-0.71962222	29032.427	12168.505	40.561684
-0.73264444	29280.735	12220.432	40.734772
-0.73571111	11862.665	8149.0888	27.163629
-0.72062222	19575.769	10945.714	36.485715
-0.73226667	29021.475	12166.21	40.554033
-0.72173333	29310.684	12226.68	40.755599
-0.72175556	19191.051	9952.7436	33.175812
-0.75064444	29545.806	12275.621	40.918738
-0.69188889	29443.89	12254.431	40.848104
-0.71604444	14329.367	8976.1246	29.920415
-0.69055556	19183.005	12114.333	40.38111
-0.67633333	28061.766	11963.357	39.877857
-0.703	18770.424	11983.35	39.944499
-0.71944444	14261.535	8817.138	29.39046
-0.70373333	18916.891	10759.932	35.86644
-0.71842222	14398.876	8626.4524	28.754841
-0.71515556	19499.481	10061.156	33.537185
-0.70355556	18928.066	9900.5937	33.001979
-0.73382222	28396.122	12034.418	40.114726
-0.72806667	29396.732	12244.614	40.815379
-0.73664444	29657.556	12298.814	40.996047
-0.71248889	19432.133	10304.695	34.348982
-0.66651111	27913.586	11931.729	39.77243
-0.692	26075.968	11532.296	38.440987
-0.68444444	27500.334	11843.077	39.476923
-0.72464444	9465.7465	8902.5558	29.675186
-0.73082222	29391.591	12243.543	40.81181
-0.73462222	19480.111	12207.786	40.69262
-0.72635556	14661.153	12229.104	40.763679
-0.73395556	19543.138	10427.612	34.758705
-0.71206667	28814.737	12122.799	40.409329
-0.724	19395.181	10018.666	33.395553
-0.72428889	19467.893	10063.58	33.545266
-0.71533333	29004.266	12162.602	40.542007
-0.71102222	27859.722	11920.211	39.734037
-0.70386667	14017.473	9914.6896	33.048965
-0.75306667	19643.564	12258.895	40.862984
-0.7308	29803.725	12329.085	41.096949
-0.72024444	29182.172	12199.846	40.666155
-0.70864444	13948.188	8499.0218	28.330073
-0.70131111	18917.338	12030.154	40.100515
-0.72355556	28811.162	12122.047	40.406822
-0.72386667	19412.912	10299.597	34.33199
-0.70553333	19260.485	10051.799	33.505997
-0.70031111	28786.129	12116.779	40.389265
-0.72577778	28771.155	12113.627	40.378758
-0.7012	29068.857	12176.137	40.587125
-0.67908889	18764.613	11981.495	39.938316
-0.68782222	27730.316	11892.495	39.641649
-0.6822	13925.95	10321.708	34.405694
-0.68835556	28129.039	11977.688	39.925628
-0.73413333	9471.781	7271.6462	24.238821
-0.75197778	19534.645	10934.211	36.447371
-0.71266667	19618.085	12250.942	40.836475
-0.6988	19006.738	9974.41	33.248033
-0.75911111	14783.408	9103.8327	30.346109
-0.69835556	29364.324	12237.862	40.792875
-0.68966667	8179.5253	6702.6432	22.342144
-0.71304444	10957.222	8537.6344	28.458781
-0.70028889	14112.237	10231.868	34.106226
-0.72097778	19287.901	10864.936	36.216452
-0.72406667	28993.538	12160.353	40.534508
-0.72895556	19667.404	12266.332	40.887773
-0.71631111	29131.214	12189.19	40.630634
-0.71215556	28903.691	12141.496	40.471654
-0.73253333	19136.219	10478.471	34.928237
-0.70595556	29225.307	12208.86	40.696199
-0.71637778	28459.82	12047.908	40.159692
-0.72777778	29006.054	12162.977	40.543257
-0.67417778	29013.429	12164.523	40.548411
-0.75197778	28507.201	12057.933	40.193109
-0.72964444	29486.131	12263.218	40.877395
-0.74133333	29714.772	12310.672	41.035574
-0.74042222	19861.849	10097.797	33.659325
-0.71337778	11890.111	8131.2396	27.104132
-0.74995556	19447.182	9962.2752	33.207584
-0.73882222	19968.831	10234.971	34.116569
-0.7498	29864.517	12341.652	41.138841
-0.74957778	20079.836	10131.558	33.771858
-0.69515556	19469.979	12204.611	40.682036
-0.72173333	9456.136	8057.3768	26.857923
-0.72082222	19595.437	10441.555	34.805183
-0.70991111	29182.172	12199.846	40.666155
-0.72588889	29217.931	12207.319	40.691064
-0.72697778	29530.832	12272.51	40.908367
-0.73211111	14499.227	10278.191	34.260636
-0.74946667	30020.744	12373.891	41.246303
-0.74535556	29961.739	12361.725	41.20575
-0.708	29233.129	12210.494	40.701645
-0.72337778	28398.804	12034.986	40.11662
-0.72791111	29118.474	12186.525	40.621749
-0.72842222	14595.556	9994.6819	33.315606
-0.72015556	28864.578	12133.279	40.444262
-0.69288889	18900.799	10413.816	34.712721
-0.71733333	19430.792	10397.596	34.658653
-0.69208889	18624.702	11936.743	39.789145
-0.71922222	11437.031	9156.3697	30.521232
-0.72775556	14462.015	8845.385	29.484617
-0.71731111	29278.947	12220.059	40.733529
-0.71384444	28750.146	12109.204	40.364013
-0.71586667	19242.307	9986.0992	33.286997
-0.68468889	28255.54	12004.591	40.015304
-0.6986	28155.189	11983.255	39.944182
-0.7242	28311.639	12016.502	40.055007
-0.70315556	19277.173	12144.031	40.480103
-0.74822222	19497.544	12213.247	40.710824
-0.75291111	20082.965	11086.607	36.955357
-0.72597778	14851.128	10191.999	33.973329
-0.71044444	11641.042	9216.7118	30.722373
-0.718	18819.892	10732.31	35.774366
-0.71688889	28320.132	12018.304	40.061015
-0.71324444	29067.516	12175.857	40.586188
-0.69795556	11401.718	8597.084	28.656947
-0.68715556	27158.826	11769.312	39.231038
-0.70357778	28252.859	12004.021	40.013405
-0.69284444	28554.137	12067.855	40.226183
-0.74106667	29203.404	12204.284	40.680946
-0.71595556	28883.352	12137.224	40.457413
-0.72466667	28858.32	12131.963	40.439877
-0.71962222	14146.544	10152.415	33.841384
-0.74073333	29065.728	12175.482	40.58494
-0.69655556	14655.119	8876.7989	29.58933
-0.7298	29305.767	12225.654	40.752181
-0.74697778	29916.146	12352.316	41.174385
-0.73455556	29889.325	12346.777	41.155925
-0.72775556	19509.762	10580.249	35.267496
-0.72097778	19530.175	10056.834	33.522779
-0.71188889	29168.315	12196.95	40.656499
-0.66882222	27942.864	11937.985	39.793283
-0.7088	28336.001	12021.671	40.072237
-0.71397778	19199.991	9899.2529	32.99751
-0.6846	27794.46	11906.241	39.687471
-0.69613333	18532.471	11907.151	39.690503
-0.74611111	28241.683	12001.647	40.005491
-0.72586667	19496.203	10923.447	36.41149
-0.71966667	28953.307	12151.913	40.506377
-0.7172	28678.85	12094.18	40.313933
-0.72988889	29179.042	12199.192	40.663975
-0.72528889	29423.105	12250.105	40.833683
-0.72193333	19093.009	12085.883	40.286276
-0.73953333	29366.559	12238.328	40.794427
-0.7226	19747.268	10157.322	33.857741
-0.71986667	28720.421	12102.942	40.343141
-0.69924444	14189.791	9823.1344	32.743781
-0.69293333	14254.383	12058.264	40.194212
-0.71288889	28314.321	12017.071	40.056904
-0.75046667	11926.586	9266.8229	30.88941
-0.75424444	19981.794	10132.687	33.775624
-0.73671111	29727.512	12313.311	41.044369
-0.72206667	29364.995	12238.002	40.79334
-0.73464444	29614.644	12289.913	40.966378
-0.69782222	28800.88	12119.884	40.399612
-0.58304444	18357.843	10106.444	33.688148
-0.71724444	18244.603	9661.7757	32.205919
-0.70766667	19029.237	9867.0509	32.89017
-0.69704444	18679.832	9776.1901	32.5873
-0.73691111	28872.624	12134.97	40.449898
-0.72757778	29552.511	12277.014	40.92338
-0.63135556	28490.886	12054.482	40.181606
-0.65875556	18011.269	9821.0914	32.736971
-0.67664444	13823.363	8423.1018	28.077006
-0.72968889	14152.802	9122.1463	30.407154
-0.7202	14639.362	9988.01	33.293367
-0.72964444	29475.851	12261.08	40.870268
-0.70935556	29242.964	12212.547	40.708491
-0.72602222	28957.554	12152.804	40.509347
-0.68468889	9409.648	10391.339	34.637796
-0.69695556	27745.737	11895.801	39.65267
-0.6974	28583.415	12074.04	40.246801
-0.70168889	28838.876	12127.875	40.426251
-0.70513333	28788.364	12117.25	40.390832
-0.7286	19368.212	12172.673	40.575577
-0.67131111	11443.915	8555.4651	28.518217
-0.68624444	27786.861	11904.614	39.682046
-0.72871111	9454.8695	7099.6312	23.665437
-0.72195556	28945.932	12150.365	40.501217
-0.73451111	29384.216	12242.007	40.806689
-0.71311111	29440.985	12253.827	40.846088
-0.71753333	28593.025	12076.07	40.253566
-0.70946667	28973.87	12156.227	40.520758
-0.74222222	29438.079	12253.222	40.844073
-0.70862222	29421.987	12249.872	40.832908
-0.70788889	28943.921	12149.943	40.49981
-0.7144	14481.124	9240.2725	30.800908
-0.69517778	18459.461	9820.5328	32.735109
-0.66455556	28222.686	11997.61	39.992033
-0.6754	13769.388	8994.4587	29.981529
-0.70804444	18909.143	10757.728	35.859094
-0.70815556	28718.185	12102.471	40.341571
-0.71862222	19245.883	9920.5769	33.06859
-0.72091111	29419.529	12249.361	40.831202
-0.7368	19278.067	10862.166	36.207219
-0.73811111	14846.546	10073.362	33.577874
-0.73675556	29809.76	12330.333	41.101109
-0.72324444	19381.622	10891.301	36.304335
-0.72466667	19576.514	9995.2598	33.317533
-0.72444444	29102.829	12183.25	40.610834
-0.66948889	13961.486	8504.1335	28.347112
-0.73222222	18834.345	9837.4492	32.791497
-0.69788889	18991.987	9852.0183	32.840061
-0.72537778	14279.08	10065.937	33.553124
-0.73724444	29232.459	12210.353	40.701178
-0.69126667	29196.923	12202.929	40.676432
-0.72355556	18889.475	9827.3302	32.757767
-0.69837778	28582.298	12073.804	40.246014
-0.65288889	13912.316	9817.9503	32.726501
-0.71428889	27813.458	11910.31	39.701032
-0.73215556	28898.55	12140.417	40.468055
-0.72548889	19700.78	10070.582	33.568608
-0.72815556	19621.214	12251.919	40.839731
-0.72055556	29828.31	12334.169	41.113896
-0.7402	11949.919	9029.5918	30.098639
-0.70968889	29755.673	12319.142	41.063805
-0.73153333	29058.8	12174.031	40.580103
-0.70806667	28376.007	12030.154	40.100515
-0.73542222	28965.377	12154.446	40.514818
-0.72202222	19732.219	12286.527	40.955092
-0.67173333	18475.851	10138.876	33.796252
-0.69573333	13797.326	9189.2462	30.630821
-0.72446667	28009.691	11952.251	39.840838
-0.74675556	29750.308	12318.031	41.060104
-0.70095556	28290.407	12011.995	40.039985
-0.71873333	29024.157	12166.772	40.555907
