# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
-0.0296	129.44911	152.15144	3.0430287
-0.5472	208.08483	190.93042	3.8186084
-0.5312	693.082	317.12291	6.3424581
-0.6032	580.336	290.18521	5.8037042
-0.5856	227.677	204.39179	4.0878358
-0.4088	396.65033	241.13447	4.8226894
-0.4592	245.8562	188.97981	3.7795963
-0.5872	557.612	284.44747	5.6889493
-0.4624	555.864	284.00126	5.6800252
-0.2592	204.66167	179.18793	3.5837587
-0.668	305.13525	210.90869	4.2181737
-0.5616	266.6574	204.76119	4.0952237
-0.552	719.302	323.06576	6.4613151
-0.7384	707.7215	320.4551	6.409102
-0.4968	324.254	265.60701	5.3121401
-0.6928	722.5795	323.80148	6.4760296
-0.6928	809.761	342.7786	6.855572
-0.7104	798.836	340.45843	6.8091686
-0.7712	247.48767	214.75396	4.2950792
-0.82	587.47367	294.9963	5.899926
-0.7392	565.33233	350.77846	7.0155692
-0.752	806.702	342.13054	6.8426108
-0.5688	686.3085	315.57001	6.3114002
-0.672	366.97075	239.2953	4.785906
-0.5256	391.69767	239.01934	4.7803868
-0.5432	308.522	220.88942	4.4177885
0.7112	158.38822	168.47968	3.3695936
0.7648	542.60833	343.65621	6.8731243
-0.7088	205.09867	192.93219	3.8586439
0.5344	546.25	281.53518	5.6307035
-0.6128	345.0115	226.27798	4.5255595
-0.5728	711.873	321.39313	6.4278625
-0.6048	296.9415	209.10406	4.1820813
-0.6056	691.5525	316.77279	6.3354559
-0.6968	704.444	319.71182	6.3942365
-0.736	402.477	243.21765	4.864353
-0.6456	495.70367	268.2114	5.364228
0.6952	422.72467	247.70487	4.9540975
0.6992	749.2365	329.71959	6.5943917
0.5824	747.27	329.28678	6.5857355
0.5664	416.31533	245.97019	4.9194038
0.7648	357.466	244.26011	4.8852021
0.6048	719.739	323.16424	6.4632848
0.5832	286.7594	230.84146	4.6168293
0.6792	466.42467	263.24085	5.2648171
0.5856	547.3425	281.81578	5.6363157
0.6752	462.346	259.36989	5.1873978
0.652	720.8315	323.40906	6.4681811
0.5712	457.24767	263.8792	5.277584
0.6872	743.5555	328.46735	6.5693471
0.7368	800.584	340.83074	6.8166149
0.6344	366.8615	246.98122	4.9396244
0.7488	507.93967	332.49661	6.6499321
0.7088	492.062	292.66987	5.8533974
0.5888	767.809	333.78138	6.6756276
0.6824	504.735	271.85923	5.4371846
0.6616	452.44067	280.63631	5.6127261
0.4672	437.14567	308.45729	6.1691458
0.6728	586.2355	291.65733	5.8331465
0.5064	617.481	299.32842	5.9865684
0.548	415.73267	246.32931	4.9265863
0.5424	702.0405	319.16582	6.3833164
0.6232	418.209	301.70178	6.0340355
0.6808	238.85171	201.97195	4.0394389
0.844	536.636	295.92589	5.9185179
0.7376	405.20825	342.91748	6.8583496
0.756	532.41167	278.12533	5.5625066
0.64	520.467	301.00103	6.0200206
0.6696	504.15233	331.25455	6.625091
0.6648	708.814	320.70183	6.4140366
0.468	581.647	290.51361	5.8102722
0.4056	584.706	291.27569	5.8255139
0.7312	707.7215	320.45617	6.4091234
0.5224	356.04575	228.05486	4.5610972
-0.7552	355.6306	254.26498	5.0852995
-0.548	298.6458	216.47702	4.3295405
-0.8016	479.97167	323.21387	6.4642773
-0.668	769.3385	334.11371	6.6822741
0.6008	414.0575	245.34924	4.9069848
0.4472	597.816	294.52345	5.890469
0.5416	573.344	288.43191	5.7686382
0.6792	231.31867	225.45828	4.5091657
0.3624	453.89733	256.90209	5.1380417
0.7064	595.194	293.87909	5.8775817
0.7736	294.0136	211.0949	4.2218981
0.6032	734.8155	326.53141	6.5306282
0.7288	493.66433	270.09033	5.4018066
0.552	382.66633	242.40457	4.8480914
0.6504	261.0638	232.81958	4.6563916
0.564	404.07933	244.63445	4.8926891
0.7384	553.82467	283.99682	5.6799365
