# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
0.64135	12462.858	5333.1688	26.665844
0.67635	11901.42	5211.6578	26.058289
0.7057	12052.158	5244.5582	26.222791
0.6783	4124.316	3380.4623	16.902311
0.6839	11928.504	5217.5845	26.087923
0.6469	5267.838	3663.2606	18.316303
0.7117	5813.958	3740.4002	18.702001
0.68895	4474.188	3270.1427	16.350714
0.68035	6197.796	3871.9684	19.359842
0.65	11716.05	5170.9116	25.854558
0.639	7809.96	5170.6666	25.853333
0.6689	5746.47	4435.247	22.176235
0.7171	8353.712	5347.6366	26.738183
0.70525	8258.844	4346.6518	21.733259
0.7039	8300.58	4368.5658	21.842829
0.6598	12043.5	5242.6741	26.213371
0.64115	3687.79	3710.9772	18.554886
0.67045	11853.468	5201.1481	26.00574
0.70845	12349.86	5308.9364	26.544682
0.63365	8129.64	4718.4486	23.592243
0.6224	11172.594	5049.5597	25.247799
0.61875	11523.354	5128.2118	25.641059
0.6728	11898.978	5211.1231	26.055616
0.67035	11853.69	5201.1968	26.005984
0.54585	5608.386	4219.8806	21.099403
0.65915	10836.708	4973.0773	24.865386
0.64975	10695.516	4940.5736	24.702868
0.70625	12475.956	5335.9705	26.679853
0.64655	12270.384	5291.8263	26.459132
0.67415	11849.028	5200.1739	26.000869
0.7273	12430.002	5326.1342	26.630671
0.7488	12852.024	5415.7956	27.078978
0.6738	12772.104	5398.9304	26.994652
0.69695	4711.9944	3308.555	16.542775
0.71095	6437.778	3970.1911	19.850955
0.67875	8322.928	4401.5795	22.007898
0.5984	5657.559	3694.778	18.47389
0.72025	5985.675	4333.8937	21.669468
0.69845	12696.624	5382.9535	26.914768
0.6961	4885.5096	4332.6536	21.663268
0.6222	11888.544	5208.8379	26.04419
0.6463	11703.396	5168.1184	25.840592
0.62075	4603.6584	3812.4694	19.062347
0.68925	6165.828	4022.1243	20.110621
0.6534	8195.204	5296.659	26.483295
0.60335	7601.428	5101.1692	25.505846
0.67795	11921.4	5216.0307	26.080153
0.6957	8146.956	5281.0444	26.405222
0.71605	3586.0611	3567.9129	17.839564
0.6528	8101.076	5266.1532	26.330766
0.69055	12147.618	5265.2872	26.326436
0.7081	12512.142	5343.7033	26.718516
0.66245	12229.758	5283.0587	26.415294
0.63065	11529.792	5129.6442	25.648221
0.7118	11727.15	5173.3606	25.866803
0.6145	11537.784	5131.4218	25.657109
0.6769	3785.988	3064.473	15.322365
0.679	12273.048	5292.4007	26.462004
0.7125	12372.948	5313.8966	26.569483
0.69035	12217.326	5280.3728	26.401864
0.68075	12031.512	5240.0642	26.200321
0.6765	7985.34	4274.8972	21.374486
0.5917	11487.168	5120.1537	25.600768
0.5585	6917.52	4352.4938	21.762469
0.6851	11422.344	5105.6865	25.528432
0.6298	7495.016	5065.3379	25.326689
0.64805	6976.239	3990.1666	19.950833
0.64755	7965.656	5221.9524	26.109762
0.68015	7664.328	4435.9323	22.179662
0.6886	12420.234	5324.041	26.620205
0.64745	11915.406	5214.7192	26.073596
0.65835	11570.196	5138.6242	25.693121
0.7055	12117.87	5258.8363	26.294181
0.68925	12298.578	5297.9024	26.489512
0.65805	8076.656	5258.21	26.29105
0.6287	7489.836	5063.5871	25.317936
0.57715	11013.198	5013.4101	25.06705
0.64385	10878.444	4982.6445	24.913222
0.6399	7689.636	5130.6811	25.653406
0.67645	4698.852	4030.8056	20.154028
0.68515	12086.124	5251.9433	26.259716
0.66585	12223.32	5281.6679	26.40834
0.69035	12205.116	5277.7335	26.388668
0.5694	7469.412	4130.2266	20.651133
0.6043	10821.612	4969.612	24.84806
0.6496	5725.824	3783.2474	18.916237
0.6536	4818.6432	3627.4137	18.137068
0.75225	5245.6824	3870.6874	19.353437
0.7112	12866.01	5418.7417	27.093708
0.7096	12035.064	5240.8376	26.204188
0.66285	8405.364	4401.3708	22.006854
0.59295	4779.9264	3704.0726	18.520363
0.68525	11893.872	5210.005	26.050025
0.58635	11517.804	5126.9768	25.634884
0.67015	7316.824	4476.3546	22.381773
0.65105	8092.64	4308.064	21.54032
0.6928	4592.4696	3878.7782	19.393891
0.67725	6076.695	3904.3231	19.521615
0.5714	5763.453	3763.5631	18.817815
0.6563	6886.44	3974.1958	19.870979
0.64805	11417.682	5104.6442	25.523221
0.6676	11618.814	5149.4092	25.747046
0.6783	10380.276	4867.2197	24.336099
0.66925	5809.851	3687.3893	18.436947
0.4866	10425.342	4877.7744	24.388872
0.6379	4530.0432	3600.5414	18.002707
0.6746	11702.508	5167.9223	25.839612
0.59525	5786.541	4235.5297	21.177649
0.70935	11101.776	5033.531	25.167655
0.72975	12851.136	5415.6085	27.078043
0.72705	12838.704	5412.9884	27.064942
0.4018	11138.85	5041.9302	25.209651
0.66015	6413.691	4417.8316	22.089158
0.5643	7065.964	4132.0689	20.660344
0.57425	4902.315	3369.0963	16.845482
0.6445	11007.426	5012.0962	25.060481
0.51655	9572.862	4674.0939	23.37047
0.63365	10552.104	4907.339	24.536695
0.616	7705.62	4593.748	22.96874
0.6709	11521.356	5127.7672	25.638836
0.601	11625.252	5150.8357	25.754178
0.615	5264.508	4007.6744	20.038372
0.6921	11730.48	5174.095	25.870475
0.6951	8072.512	4701.8405	23.509202
0.6961	8227.024	4338.5506	21.692753
0.64905	11732.922	5174.6335	25.873168
0.67455	7869.752	4273.6617	21.368308
0.6289	11933.166	5218.604	26.09302
0.66945	11323.998	5083.6588	25.418294
0.6302	11736.474	5175.4167	25.877084
0.66805	11348.862	5089.2368	25.446184
0.66745	7756.088	5152.8025	25.764012
0.7053	11709.834	5169.5397	25.847698
0.68185	12291.03	5296.2764	26.481382
0.69035	12390.264	5317.6137	26.588068
0.7214	8500.38	4413.0889	22.065444
0.6547	8182.92	4733.8855	23.669427
0.63855	4654.2744	3699.1035	18.495517
0.623	11798.634	5189.1039	25.94552
0.6702	3810.704	3133.2953	15.666477
0.6371	5327.556	4167.5929	20.837965
0.6538	11362.848	5092.3718	25.461859
0.39725	9607.494	4682.5423	23.412711
0.6502	4869.681	3347.343	16.736715
0.63705	11732.034	5174.4377	25.872188
0.6873	11669.43	5160.6134	25.803067
0.64935	11959.362	5224.3289	26.121644
0.59955	7383.128	4107.1539	20.53577
0.61715	10974.792	5004.6608	25.023304
0.6383	10721.046	4946.4666	24.732333
0.6731	8002.952	5234.163	26.170815
0.69285	7950.708	4263.523	21.317615
0.71535	8285.04	4763.333	23.816665
0.70445	12647.34	5372.496	26.86248
0.7139	5031.3192	3597.7628	17.988814
0.70745	12773.658	5399.2588	26.996294
0.67685	7746.32	4238.3032	21.191516
0.5466	11315.562	5081.7651	25.408826
0.61725	10945.71	4998.0256	24.990128
0.6649	6341.652	3827.1028	19.135514
0.6691	4617.4224	3398.3641	16.99182
0.67255	11855.466	5201.5864	26.007932
0.68535	11377.944	5095.7533	25.478767
0.6695	11604.162	5146.1613	25.730806
0.6677	7950.856	4311.3159	21.55658
0.67275	7864.572	4493.5082	22.467541
0.6025	10984.782	5006.9382	25.034691
0.6601	11651.448	5156.6358	25.783179
0.68875	3994.446	3630.3086	18.151543
0.6164	5909.751	4285.4431	21.427215
0.54835	7639.908	4428.8597	22.144299
0.64655	5423.682	3761.0501	18.80525
0.6636	11785.314	5186.174	25.93087
0.6448	8100.928	4311.1125	21.555562
0.65655	5799.861	3823.6475	19.118238
0.5833	7507.892	5069.687	25.348435
0.6709	11839.704	5198.1276	25.990638
0.6785	12364.512	5312.0847	26.560424
0.67285	12153.39	5266.538	26.33269
0.70905	12272.604	5292.305	26.461525
0.621	7689.34	4443.1649	22.215824
0.63995	7174.004	4091.9489	20.459744
0.52545	10497.048	4894.5201	24.4726
0.6646	3669.882	3278.4659	16.392329
0.64155	11843.478	5198.9559	25.994779
0.6136	5743.917	3698.4729	18.492365
0.6334	11609.712	5147.3918	25.736959
0.63315	11440.326	5109.7035	25.548518
0.64115	5818.842	4214.714	21.07357
0.6703	7654.116	4300.6079	21.503039
0.5207	10563.204	4909.9195	24.549598
0.6488	10269.72	4841.2313	24.206157
0.66235	3868.202	4210.5098	21.052549
0.56435	11418.792	5104.8924	25.524462
0.6531	4249.3464	3482.3846	17.411923
0.62445	7766.004	4397.0786	21.985393
0.68005	12185.136	5273.4119	26.36706
0.61795	7826.24	4629.5632	23.147816
0.6666	7674.54	4331.9013	21.659506
0.66645	11740.47	5176.2977	25.881488
0.6517	7934.428	4260.1744	21.300872
0.7194	12182.916	5272.9315	26.364658
0.6726	8357.264	4561.3969	22.806985
0.65525	8048.684	4299.6079	21.49804
0.6778	7855.1	4278.7568	21.393784
0.67735	5266.617	4003.314	20.01657
0.64325	5914.968	3837.768	19.18884
0.65745	7046.28	4010.5685	20.052842
0.6007	3849.11	4027.0051	20.135026
0.7041	5845.038	3956.1401	19.780701
0.71055	7739.364	4457.5945	22.287972
0.66505	12598.944	5362.207	26.811035
0.6211	5832.495	3908.9633	19.544816
0.6048	11322	5083.2103	25.416052
0.6756	7728.264	5143.5517	25.717759
0.65085	10918.182	4991.7367	24.958683
0.67875	12052.38	5244.6065	26.223033
0.70305	5980.68	4277.8374	21.389187
0.6419	2899.8195	3053.8679	15.26934
0.6787	7822.096	4305.5348	21.527674
0.69575	5844.927	3923.1098	19.615549
0.6555	7704.436	4593.3951	22.966975
0.589	11345.532	5088.4902	25.442451
0.707	4838.5344	3948.253	19.741265
0.6947	12183.804	5273.1236	26.365618
0.7206	12749.016	5394.0484	26.970242
0.70105	6104.223	3780.0466	18.900233
0.61905	8175.52	4731.7445	23.658722
0.67665	3827.132	3628.2137	18.141068
0.61695	8010.352	4465.719	22.328595
0.66115	12029.736	5239.6774	26.198387
0.68615	7979.272	4297.2314	21.486157
0.6948	8122.092	4306.0304	21.530152
0.6558	7895.208	4502.252	22.51126
0.70175	12002.874	5233.8242	26.169121
0.71325	12638.904	5370.7039	26.85352
0.73085	12855.132	5416.4504	27.082252
0.73	6393.711	4417.7392	22.088696
0.6826	8558.544	5412.8012	27.064006
0.67595	8183.956	4734.1851	23.670925
0.6776	6138.189	3772.5538	18.862769
0.6727	5718.498	3680.8545	18.404272
0.64805	7713.316	4197.8419	20.989209
0.6763	5995.887	4279.8582	21.399291
0.62915	3901.946	4220.1245	21.100623
0.63585	11317.116	5082.1138	25.410569
0.5986	11000.766	5010.5796	25.052898
0.6597	3216.336	3004.7305	15.023652
0.5838	7309.72	4142.2596	20.711298
0.70205	6199.461	3805.2351	19.026175
0.69385	12672.648	5377.8686	26.889343
0.6691	11700.51	5167.4811	25.837406
0.65975	6002.103	4463.6144	22.318072
0.65955	4008.728	3355.9971	16.779986
0.6582	12347.862	5308.5069	26.542534
0.61605	11910.078	5213.5532	26.067766
0.66945	8049.72	4436.526	22.18263
0.64805	8142.96	4417.2965	22.086483
0.70705	12529.236	5347.3523	26.736762
0.6933	8247.004	4531.2063	22.656032
0.69905	6165.939	3881.3768	19.406884
0.68345	5017.9104	3508.0276	17.540138
0.62405	7985.192	4285.9084	21.429542
0.707	8096.636	4489.7065	22.448533
0.72725	6258.291	4780.3633	23.901817
0.7403	13197.678	5488.1411	27.440705
0.71895	12665.766	5376.4082	26.882041
0.7228	12732.81	5390.6189	26.953095
0.6447	12387.6	5317.0421	26.58521
0.681	11798.412	5189.0551	25.945276
0.7145	6166.494	3923.006	19.61503
0.66995	8205.564	4359.0769	21.795385
0.6604	5934.615	3903.365	19.516825
0.6776	5787.318	4596.9673	22.984837
0.69365	11825.274	5194.9588	25.974794
0.5357	3745.954	3233.8509	16.169255
0.50265	6520.732	3859.1633	19.295817
-0.653	4521.77	3645.2594	18.226297
-0.59845	11196.126	5054.8747	25.274374
-0.60935	3507.156	3104.4035	15.522017
-0.5989	11191.686	5053.8723	25.269361
-0.51115	5477.073	4083.2875	20.416438
-0.61695	10487.28	4892.2422	24.461211
-0.70445	5843.928	4619.3963	23.096981
-0.6477	12136.074	5262.7848	26.313924
-0.69215	5990.115	3759.9605	18.799803
-0.7074	8269.5	4758.8636	23.794318
-0.6738	4801.7712	3574.0789	17.870395
-0.67995	11729.37	5173.8501	25.869251
-0.47755	9497.604	4655.6854	23.278427
-0.70175	5411.028	4059.0157	20.295078
-0.6826	8017.012	5238.7588	26.193794
-0.69785	12487.278	5338.3912	26.691956
-0.71315	11973.348	5227.3828	26.136914
-0.7366	12830.934	5411.3502	27.056751
-0.69505	8478.476	4415.5065	22.077533
-0.6287	7791.756	5164.6371	25.823185
-0.70965	12188.91	5274.2285	26.371143
-0.70975	12378.276	5315.0406	26.575203
-0.7121	6369.069	4496.9694	22.484847
-0.699	12617.148	5366.0795	26.830397
-0.71475	8552.772	4839.6861	24.19843
-0.6984	12289.698	5295.9894	26.479947
-0.7156	8364.664	5351.1409	26.755704
-0.69975	12496.158	5340.289	26.701445
-0.6437	11953.146	5222.971	26.114855
-0.52425	10886.214	4984.4238	24.922119
-0.6486	10869.786	4980.6614	24.903307
-0.6539	8047.352	4291.7288	21.458644
-0.5915	7570.496	4179.8246	20.899123
-0.63045	10923.954	4993.056	24.96528
-0.5962	4708.731	4636.0002	23.180001
-0.51275	10484.838	4891.6725	24.458363
-0.6685	3752.466	3743.3789	18.716894
-0.641	9432.336	4639.6598	23.198299
-0.70365	12110.322	5257.1982	26.285991
-0.7272	12692.85	5382.1535	26.910767
-0.67975	6320.451	4651.486	23.25743
-0.686	12211.998	5279.2213	26.396106
-0.70755	11973.57	5227.4313	26.137156
-0.70215	12471.516	5335.0209	26.675105
-0.5362	7264.876	4986.9645	24.934822
-0.6621	11297.136	5077.6259	25.38813
0.5081	4079.176	3347.498	16.73749
0.5049	9460.308	4646.5342	23.232671
0.56255	10392.486	4870.0815	24.350408
0.694	3170.9846	2821.899	14.109495
0.64305	11475.402	5117.5307	25.587654
0.60225	10957.476	5000.7111	25.003556
0.64635	11542.668	5132.5077	25.662538
0.6478	7069.22	4195.1804	20.975902
0.717	12618.036	5366.2684	26.831342
0.71245	12650.67	5373.2032	26.866016
0.6568	12263.946	5290.4379	26.452189
0.70755	6223.659	3789.1226	18.945613
0.66925	6223.326	3896.2952	19.481476
0.68965	4907.7984	4205.2925	21.026462
0.69245	8272.312	4397.6089	21.988044
0.6876	12061.482	5246.5865	26.232933
0.70345	8286.668	4542.0899	22.71045
0.72435	8401.96	4644.4961	23.222481
0.71895	8467.376	4432.967	22.164835
0.67975	12122.976	5259.9441	26.29972
0.7009	5954.817	3706.0342	18.530171
0.71025	12673.758	5378.1041	26.890521
0.71035	5010.984	3828.9496	19.144748
0.6561	8115.58	4328.5286	21.642643
0.67235	12018.414	5237.2111	26.186056
0.6881	4099.526	3991.1989	19.955995
0.7175	12829.824	5411.1161	27.055581
0.71585	8560.172	4482.5916	22.412958
0.65515	6176.262	4219.4977	21.097488
0.71865	12447.096	5329.7953	26.648976
0.69655	6141.186	3795.4235	18.977118
0.6821	6333.105	5376.5024	26.882512
0.68385	6193.245	3831.3973	19.156986
0.6259	11743.578	5176.9828	25.884914
0.58175	5383.611	3801.8408	19.009204
0.661	5469.747	3555.3195	17.776598
0.70455	12069.03	5248.2279	26.24114
0.73275	8478.328	4594.3172	22.971586
0.64355	6257.736	5344.4144	26.722072
0.70845	6133.638	3908.31	19.54155
0.6111	11544.222	5132.8533	25.664266
0.6592	11552.436	5134.6789	25.673395
0.69105	7771.036	4398.5029	21.992515
0.6845	7863.092	4254.323	21.271615
0.6983	8396.336	4378.6556	21.893278
0.70835	8309.46	4393.3942	21.966971
0.71325	12309.456	5300.2448	26.501224
0.65515	8089.976	5262.5441	26.312721
0.71115	8295.4	5328.9396	26.644698
0.6277	12040.17	5241.9493	26.209747
0.69245	11608.158	5147.0473	25.735237
0.69635	11716.272	5170.9606	25.854803
0.696	12529.458	5347.3997	26.736998
0.68775	8183.956	4734.1851	23.670925
0.69	8195.204	4737.4374	23.687187
0.6821	5817.066	4207.7665	21.038832
0.67665	5838.933	5162.4784	25.812392
0.68855	8161.608	5285.7911	26.428956
0.71435	12591.84	5360.695	26.803475
0.66885	6113.658	3833.2255	19.166128
0.7204	5962.587	4270.7935	21.353968
0.7074	4969.4256	3864.8755	19.324378
0.58805	12025.074	5238.6622	26.193311
0.65565	7615.784	5105.984	25.52992
0.69305	7934.872	4404.7628	22.023814
0.6501	11643.678	5154.9161	25.77458
0.5923	10982.784	5006.4828	25.032414
0.58845	11133.078	5040.622	25.20311
0.667	11795.526	5188.4205	25.942102
0.69815	6198.129	4024.2893	20.121446
0.6741	4850.1672	3758.9802	18.794901
0.4624	6880.52	3977.6895	19.888448
0.64395	7092.604	4023.9158	20.119579
0.64785	7492.944	4136.4905	20.682452
0.6854	12153.39	5266.538	26.33269
0.69745	8300.58	4767.7981	23.838991
0.6844	8195.204	5296.659	26.483295
0.6867	6118.32	3850.8651	19.254325
0.64345	11775.99	5184.1221	25.92061
0.68805	7482.88	4147.8053	20.739027
0.69305	12182.472	5272.8354	26.364177
0.6297	7686.38	4268.0191	21.340095
0.6534	5214.78	3496.1374	17.480687
0.6504	4033.888	3334.5051	16.672525
0.66985	11951.37	5222.583	26.112915
0.67425	11724.264	5172.7239	25.863619
0.6347	6010.095	4042.533	20.212665
0.63315	5769.669	3641.4025	18.207013
0.6305	10521.246	4900.1581	24.50079
0.6971	5722.494	3721.9376	18.609688
0.65315	12100.11	5254.9812	26.274906
0.6894	7920.22	4262.2404	21.311202
0.6491	7506.856	4209.7923	21.048961
0.66445	11666.322	5159.9261	25.799631
0.66595	11840.148	5198.2249	25.991125
0.6388	11731.59	5174.3398	25.871699
0.71445	12256.842	5288.9054	26.444527
0.69845	12522.576	5345.9309	26.729654
0.62185	12141.624	5263.9881	26.31994
0.66985	11355.3	5090.6802	25.453401
0.6481	3525.1697	3581.9924	17.909962
0.6794	7777.104	4252.4366	21.262183
0.654	7643.904	4430.0178	22.150089
0.598	7637.984	4185.939	20.929695
0.6855	7525.208	4264.2385	21.321192
0.56955	11433.222	5108.117	25.540585
0.6375	7406.364	5035.292	25.17646
