# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
-0.5852	581.3136	617.21827	6.1721827
-0.631	1330.5345	905.46337	9.0546337
-0.6352	1126.171	843.29287	8.4329287
-0.3872	1735.648	1026.7239	10.267239
0.6396	553.23382	662.54232	6.6254232
0.6806	1824.27	1057.0272	10.570272
0.6012	2764.437	1264.6138	12.646138
0.7008	1000.83	866.95909	8.6695909
0.5218	876.073	871.79852	8.7179852
-0.5108	470.8865	530.68278	5.3068278
0.565	952.4748	750.48189	7.5048189
0.6056	2619.459	1231.0065	12.310065
0.3286	882.7452	813.6205	8.136205
-0.465	577.8096	629.96752	6.2996752
0.5546	491.6988	539.0446	5.390446
-0.6166	1971.584	1067.9798	10.679798
-0.661	1375.101	893.38808	8.9338808
-0.5732	1412.6595	1057.4431	10.574431
-0.4374	1015.0212	857.88562	8.5788562
0.5624	1677.4305	1137.4865	11.374865
0.4286	1557.966	1006.8996	10.068996
0.6424	848.03057	790.19254	7.9019254
0.2658	1096.8615	919.81669	9.1981669
-0.7118	1188.586	1021.6366	10.216366
-0.656	1180.2348	902.80561	9.0280561
-0.674	3039.72	1326.0849	13.260849
-0.6268	2952.996	1307.0312	13.070312
0.6418	1748.6055	1010.0847	10.100847
0.2698	365.73	534.0712	5.340712
0.4536	258.055	402.47332	4.0247332
-0.505	708.44067	745.82012	7.4582012
-0.5914	2471.196	1195.6613	11.956613
-0.364	1162.3425	856.56854	8.5656854
0.151	1061.0988	795.31257	7.9531257
0.5874	694.9965	708.05132	7.0805132
0.6196	1273.8135	920.60792	9.2060792
0.5498	2430.681	1185.8194	11.858194
0.6614	1164.9048	919.47313	9.1947313
0.723	1530.372	981.55396	9.8155396
0.6564	2011.15	1081.9844	10.819844
0.6668	1976.548	1134.1376	11.341376
0.5586	1884.422	1044.5595	10.445595
0.5604	2206.863	1129.9057	11.299057
0.6808	1177.782	969.36512	9.6936512
0.693	1190.3964	883.5072	8.835072
0.682	3159.951	1352.0561	13.520561
0.596	1416.054	926.14252	9.2614252
0.3492	398.70514	572.95084	5.7295084
-0.2164	1028.5992	771.68052	7.7168052
0.4858	534.8418	609.44166	6.0944166
-0.5094	441.74291	573.34928	5.7334928
0.2928	303.94624	458.97211	4.5897211
-0.585	871.80771	725.5817	7.255817
0.5282	495.47908	588.95064	5.8895064
-0.586	784.29375	680.10311	6.8010311
-0.5804	399.31	519.02999	5.1902999
-0.6996	876.876	946.06212	9.4606212
-0.565	2462.655	1193.5935	11.935935
0.6046	1746.087	1005.3892	10.053892
0.6238	1811.568	1253.7977	12.537977
0.6624	1325.7165	1011.1587	10.111587
0.3406	1467.154	922.68773	9.2268773
0.5552	741.461	724.31282	7.2431282
0.6032	2677.932	1244.6703	12.446703
0.575	2842.401	1282.3223	12.823223
0.6108	2672.457	1243.3972	12.433972
-0.6546	1664.7285	982.56804	9.8256804
-0.553	1865.588	1045.8031	10.458031
-0.3314	744.454	751.84271	7.5184271
0.6526	602.5128	642.41949	6.4241949
0.5456	1340.1705	1023.2397	10.232397
-0.424	578.47855	609.49581	6.0949581
0.5832	1006.086	809.17866	8.0917866
-0.062	722.262	672.3527	6.723527
0.6044	1176.1176	832.04677	8.3204677
-0.6158	603.783	618.83681	6.1883681
-0.0578	596.8845	643.28883	6.4328883
0.644	1206.617	854.90929	8.5490929
0.5298	1797.99	1081.6927	10.816927
0.7038	1759.592	1033.7822	10.337822
0.701	962.14	839.57706	8.3957706
0.7018	3057.678	1329.9962	13.299962
0.738	2045.022	1332.1378	13.321378
0.4602	2739.909	1258.9922	12.589922
0.6694	1200.6456	835.34581	8.3534581
0.7728	3030.741	1324.125	13.24125
0.6662	986.887	858.17637	8.5817637
0.5036	1097.3652	1058.3803	10.583803
0.6496	2783.49	1268.9645	12.689645
0.5354	1240.9635	853.5537	8.535537
0.5954	1350.354	884.39226	8.8439226
0.5758	1737.4	1005.2737	10.052737
-0.291	1200.6456	834.02169	8.3402169
-0.701	792.561	684.57801	6.8457801
-0.497	2703.774	1250.662	12.50662
-0.61	1656.662	1072.3707	10.723707
-0.7272	1635.492	973.80746	9.7380746
-0.6536	1916.396	1072.9204	10.729204
0.3768	1612.716	965.90902	9.6590902
-0.446	968.71	760.73059	7.6073059
-0.613	1030.9644	868.60515	8.6860515
-0.5656	2416.665	1182.3955	11.823955
0.4204	1260.7392	869.52885	8.6952885
-0.4732	933.56571	829.13168	8.2913168
-0.5408	1464.964	921.32732	9.2132732
0.4734	700.45933	681.88174	6.8188174
-0.5178	535.528	702.71622	7.0271622
-0.3216	655.18543	626.28693	6.2628693
0.3192	1165.956	948.3425	9.483425
0.3238	704.90625	665.89365	6.6589365
0.5594	2194.818	1126.8196	11.268196
0.5584	642.04543	634.29769	6.3429769
0.5582	1775.798	1074.9957	10.749957
0.6764	741.899	803.70032	8.0370032
0.6358	824.389	976.95876	9.7695876
0.5404	1631.258	1064.1162	10.641162
0.5746	1590.67	992.8848	9.928848
0.657	2781.738	1268.5648	12.685648
0.612	2891.895	1293.4385	12.934385
0.5062	785.991	897.15153	8.9715153
-0.3644	952.285	743.2539	7.432539
-0.5534	1126.974	819.21093	8.1921093
-0.3838	1152.378	826.8372	8.268372
-0.2866	737.738	740.86373	7.4086373
-0.6398	1007.0496	872.84052	8.7284052
-0.6222	1125.3096	1042.5436	10.425436
-0.6446	1296.48	928.40005	9.2840005
-0.2726	367.117	554.90587	5.5490587
-0.5078	629.09314	632.0551	6.320551
0.5326	1619.505	968.39389	9.6839389
-0.3884	1186.7172	926.98841	9.2698841
0.501	1606.0365	1006.7198	10.067198
0.6128	1022.2044	872.50397	8.7250397
0.421	2311.107	1156.285	11.56285
0.5172	1196.2875	898.46428	8.9846428
0.7266	2912.043	1297.937	12.97937
0.6556	2890.143	1293.0467	12.930467
0.6774	2805.171	1273.8966	12.738966
-0.5648	1241.5548	910.28483	9.1028483
-0.5378	2617.269	1230.4918	12.304918
-0.5796	552.61	656.45475	6.5645475
-0.7008	2783.49	1268.9644	12.689644
-0.651	1974.066	1308.8232	13.088232
-0.6414	3090.09	1337.0267	13.370267
-0.6074	1234.722	992.52363	9.9252363
-0.5872	2628.657	1233.1658	12.331658
0.6984	1781.127	1031.2783	10.312783
0.5788	2820.282	1277.3234	12.773234
0.6694	1431.9315	1151.2264	11.512264
0.5682	1870.552	1040.4607	10.404607
-0.2378	951.336	781.90034	7.8190034
-0.486	507.35	575.4949	5.754949
0.4284	824.94171	718.1197	7.181197
0.5822	609.86025	757.92566	7.5792566
0.6502	1425.033	916.94434	9.1694434
0.6572	1426.0185	978.69971	9.7869971
0.68	1940.632	1160.652	11.60652
0.5694	906.149	871.09947	8.7109947
0.2918	922.428	771.82737	7.7182737
-0.1714	399.05782	546.93023	5.4693023
-0.7128	2470.101	1195.4027	11.954027
-0.7232	2057.724	1336.2685	13.362685
-0.6814	2591.865	1224.5055	12.245055
-0.7134	3108.048	1340.9062	13.409062
-0.6464	1865.15	1272.2049	12.722049
-0.6326	1645.274	1194.8662	11.948662
-0.6942	2801.886	1273.1506	12.731506
-0.6868	1532.4525	1190.9515	11.909515
-0.6872	3015.192	1320.7238	13.207238
-0.6828	3004.68	1318.4196	13.184196
-0.4928	2757.21	1262.9601	12.629601
-0.4618	705.24257	671.64537	6.7164537
0.6436	1815.1815	1183.2733	11.832733
0.5608	1370.283	1000.5884	10.005884
0.4428	2429.148	1185.4456	11.854456
-0.3712	1573.296	954.03144	9.5403144
0.4596	806.796	684.51519	6.8451519
-0.6084	1117.776	989.58257	9.8958257
-0.4908	635.72571	663.52469	6.6352469
-0.5614	1173.2925	842.37287	8.4237287
-0.5798	639.3705	622.63202	6.2263202
-0.4544	803.803	760.69879	7.6069879
0.6868	682.3164	713.97176	7.1397176
0.6476	2695.014	1248.6337	12.486337
0.5958	1295.4945	1224.2985	12.242985
0.4778	1570.084	1167.2442	11.672442
0.6046	638.35371	759.29111	7.5929111
0.5378	931.8888	922.53229	9.2253229
0.7146	1992.608	1104.7264	11.047264
0.6384	1430.8365	1050.4883	10.504883
0.6996	2860.578	1286.416	12.86416
0.6906	2849.409	1283.9021	12.839021
0.691	1463.577	1062.5506	10.625506
0.682	1966.182	1306.207	13.06207
0.565	1209.4275	927.88282	9.2788282
0.6666	2776.482	1267.3659	12.673659
0.6134	2828.166	1279.1073	12.791073
0.6402	1447.809	924.00208	9.2400208
0.6366	2833.422	1280.2953	12.802953
0.6414	1712.58	997.15898	9.9715898
0.5808	593.98275	651.1116	6.511116
0.4702	1038.498	866.92012	8.6692012
0.4534	868.7	730.33537	7.3033537
-0.429	702.45467	732.43581	7.3243581
-0.6974	876.292	726.31568	7.2631568
-0.6388	2549.817	1214.5323	12.145323
-0.6552	2990.664	1315.3409	13.153409
-0.6654	1154.6556	884.64	8.8464
-0.496	1722.654	1010.317	10.10317
-0.5884	969.5568	839.77447	8.3977447
-0.5834	2685.597	1246.4502	12.464502
-0.6474	1916.688	1060.6543	10.606543
-0.7032	1385.2845	898.48673	8.9848673
-0.3106	1689.95	1023.4064	10.234064
-0.6168	1552.418	1038.0823	10.380823
-0.343	575.36775	670.90933	6.7090933
-0.1098	302.658	477.81426	4.7781426
-0.3934	585.752	618.67368	6.1867368
0.4578	697.1865	747.43234	7.4743234
-0.4944	494.6845	619.39866	6.1939866
-0.1366	609.31275	647.8593	6.478593
0.6278	1388.46	925.58012	9.2558012
0.6388	1913.038	1061.2884	10.612884
0.1924	922.7784	750.51037	7.5051037
0.2318	1042.1772	777.1954	7.771954
