# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
-0.50625	6361.8782	4424.8429	22.124215
-0.4252	5954.157	3717.1298	18.585649
0.47955	5179.761	3866.9991	19.334996
-0.4516	1595.7964	2042.7857	10.213928
-0.3519	1533.5002	2439.6991	12.198496
-0.4743	2845.9882	2743.9792	13.719896
0.53505	3095.3341	2985.2501	14.92625
0.5618	2924.3044	2867.8228	14.339114
0.33305	6166.0477	3773.6166	18.868083
-0.34215	5833.2125	3670.6409	18.353204
0.45815	4642.6884	3275.1099	16.37555
-0.41205	3076.6217	2818.7499	14.09375
0.5189	3133.5271	2947.4102	14.737051
-0.44105	4561.4734	3640.7676	18.203838
0.44135	992.41936	1786.1592	8.9307961
-0.18805	1001.0176	1584.1414	7.920707
0.49545	2458.0098	2592.1091	12.960546
-0.5173	2181.1515	2549.826	12.74913
0.54315	8418.4103	4408.0936	22.040468
0.47075	9129.005	4590.3676	22.951838
-0.38125	5138.495	3443.9317	17.219658
-0.07885	1785.5008	2150.8718	10.754359
-0.41345	2625.7078	2641.8458	13.209229
-0.5127	5885.673	3849.6487	19.248243
0.5976	1618.9149	2107.8255	10.539128
0.49635	2658.9681	2661.6394	13.308197
0.3058	3152.3858	3017.4639	15.08732
0.37975	883.77285	1611.9509	8.0597543
0.261	1470.1744	1930.9585	9.6547927
-0.49025	2628.7869	2477.0097	12.385048
0.2288	3567.3872	2887.0516	14.435258
0.44675	1981.4021	2277.5181	11.38759
-0.46455	5621.395	3659.6997	18.298499
0.46045	2288.2436	2605.863	13.029315
-0.23375	825.47964	1469.3026	7.3465129
0.201	2138.2094	2606.0359	13.03018
0.3431	3974.1792	3386.3351	16.931675
-0.51625	4194.1328	3355.2067	16.776034
-0.5362	2993.7605	2909.4507	14.547254
-0.53615	6383.2063	3840.8338	19.204169
-0.60395	6818.548	3981.8836	19.909418
-0.6263	10949.757	5027.3368	25.136684
-0.63515	11137.649	5070.2865	25.351433
-0.42015	3723.598	2961.4786	14.807393
-0.5612	8834.6555	4515.7573	22.578786
-0.5879	3606.9996	3950.9656	19.754828
-0.6086	3643.8463	3424.4393	17.122196
-0.5584	3142.5083	2819.6147	14.098073
-0.5568	6725.1873	4054.0864	20.270432
-0.56775	9483.9365	4678.7522	23.393761
-0.55405	4451.899	3310.6785	16.553392
0.5162	1721.2392	2115.2555	10.576278
0.50765	9393.9415	4656.5005	23.282502
0.22965	3872.5068	3172.203	15.861015
-0.52885	3776.7797	3258.4876	16.292438
0.4621	4653.3122	3917.095	19.585475
0.51335	1980.8777	2210.1256	11.050628
0.3811	2239.6134	2616.3803	13.081901
-0.4319	4048.458	3196.1236	15.980618
0.44795	2917.7821	2830.5667	14.152833
-0.4832	1983.3621	2311.6168	11.558084
0.50455	4356.8555	3564.4958	17.822479
0.6121	1731.7199	2171.907	10.859535
0.58785	5358.9828	3762.3902	18.811951
0.60875	5212.686	3569.1588	17.845794
0.4984	9807.9185	4757.9971	23.789986
-0.41975	6416.3143	3852.482	19.26241
0.45015	6056.005	3738.9444	18.694722
-0.2391	4930.7383	3374.4365	16.872182
0.52445	4865.9857	3869.8203	19.349101
-0.3563	2168.0614	2726.3989	13.631994
0.42245	1116.9496	1841.2202	9.2061011
0.5426	5931.9143	3700.5887	18.502943
0.0895	1607.2987	2211.4535	11.057267
0.52525	3711.9645	3129.2203	15.646101
-0.44845	2782.1625	2709.8069	13.549034
0.2301	3920.6358	3060.049	15.300245
-0.57455	3767.4353	2949.4847	14.747424
-0.44795	2832.3026	3071.6805	15.358402
-0.58705	9085.105	4579.3174	22.896587
-0.2095	3690.8486	3297.838	16.48919
0.43205	2322.5539	2547.1478	12.735739
-0.44865	4339.6028	3782.7507	18.913753
0.30175	3171.0433	2869.4916	14.347458
-0.4902	1916.7179	2141.2234	10.706117
0.472	2864.036	2682.7359	13.413679
0.33985	3184.4433	2711.5872	13.557936
-0.3528	2225.2361	2290.735	11.453675
0.5732	4113.2837	3494.2237	17.471118
0.6157	5593.9575	4150.4217	20.752109
0.67515	7025.6097	4060.88	20.3044
0.48835	10560.145	4937.0863	24.685432
-0.4672	1462.0072	2100.6947	10.503473
-0.57025	3956.707	3473.471	17.367355
-0.6473	6590.1217	4776.7013	23.883507
-0.5949	5381.4815	3640.8536	18.204268
-0.34435	2840.3788	2603.1884	13.015942
-0.5494	9344.3345	4644.1903	23.220952
0.47875	3393.2819	3317.7726	16.588863
-0.41495	7486.706	4157.011	20.785055
0.37165	2137.1398	2354.9029	11.774514
-0.47085	8027.554	4304.5472	21.522736
0.0787	2940.7356	2703.9192	13.519596
-0.54415	6141.9393	3765.7084	18.828542
-0.5143	3921.0602	3052.9808	15.264904
-0.573	6053.2247	3818.2384	19.091192
-0.6129	6021.0313	3954.042	19.77021
-0.56855	4193.767	3483.9678	17.419839
0.5916	2742.9208	2537.5851	12.687925
0.48715	6562.3183	4064.9237	20.324618
0.58515	10109.292	4830.5448	24.152724
-0.39645	8559.0367	4444.7587	22.223794
-0.57845	4154.3448	3105.7602	15.528801
-0.5269	5019.8552	3558.7134	17.793567
0.6085	8177.3993	4344.5361	21.722681
0.3009	4710.47	3314.8682	16.574341
0.4445	1538.5069	2094.2926	10.471463
0.35435	2644.097	2669.438	13.34719
0.66435	9067.545	4574.8918	22.874459
0.4806	3264.0382	2746.7126	13.733563
-0.44355	2405.0066	2677.2353	13.386176
0.62435	4870.266	3471.5003	17.357501
0.53205	3089.5566	2957.9424	14.789712
-0.22605	2250.6433	2363.7353	11.818676
0.34525	1429.0704	2035.1892	10.175946
-0.1903	1728.2632	2045.7583	10.228791
0.4715	1983.4996	2207.4131	11.037065
-0.3094	4409.8428	3365.3552	16.826776
0.32825	4102.8062	3112.135	15.560675
-0.46695	4634.4352	3665.8151	18.329075
-0.6527	3726.9219	3201.7662	16.008831
-0.6282	10768.67	4985.5923	24.927962
-0.57925	4030.6346	3206.7927	16.033964
0.3348	6191.9852	3794.858	18.97429
0.50315	3671.7082	3272.6571	16.363286
-0.39195	4856.3936	3350.0072	16.750036
0.3831	4840.5018	3350.7661	16.753831
0.5974	3961.3604	3063.8213	15.319107
0.648	4356.8116	3304.2763	16.521381
0.5487	11108.895	5063.7374	25.318687
0.5647	9552.201	4695.5606	23.477803
0.54335	10024.784	4810.3121	24.05156
-0.373	8317.733	4381.6559	21.90828
0.543	4987.6985	3399.601	16.998005
0.5593	4885.631	3359.4463	16.797232
0.59665	9774.9935	4750.0039	23.75002
0.5449	4944.1277	3455.9591	17.279796
0.58575	2735.5344	3000.2481	15.00124
0.502	9964.2025	4795.7553	23.978776
0.3769	3874.4384	3044.4622	15.222311
-0.5625	2316.0664	2491.7482	12.458741
-0.6094	4971.8945	3911.7368	19.558684
-0.3724	8963.941	4548.6798	22.743399
-0.51555	7119.8483	4054.0718	20.270359
-0.3307	1207.1281	1877.7056	9.3885281
0.61445	2774.4312	3103.6731	15.518366
0.3627	6303.3083	3825.0941	19.125471
0.58865	1504.2504	2050.1016	10.250508
0.5648	7216.4283	4262.7067	21.313534
0.65405	5660.3562	3660.7537	18.303768
0.55105	11046.118	5049.4094	25.247047
0.66235	7261.6453	4132.4277	20.662138
0.54495	4257.2464	3189.0802	15.945401
-0.2303	4406.243	3289.2293	16.446146
0.53805	4442.7678	3697.6541	18.488271
-0.5523	1986.9539	2255.7251	11.278626
-0.4862	9541.226	4692.8625	23.464312
-0.58725	10314.524	4879.3318	24.396659
-0.5619	5118.1912	3490.8105	17.454052
-0.64725	5483.4393	5031.2657	25.156329
-0.5732	4425.7346	3719.8016	18.599008
-0.40505	9577.4435	4701.7614	23.508807
0.58995	3651.4557	4105.669	20.528345
0.5578	9965.9585	4796.1777	23.980889
0.4096	9028.035	4564.9119	22.824559
-0.32815	2886.6994	3129.1352	15.645676
-0.46915	2204.658	2730.9025	13.654512
-0.5758	1824.8864	2278.4389	11.392195
-0.5672	10845.934	5003.4459	25.017229
0.41995	2840.0556	2737.3817	13.686908
0.43325	2935.0442	2655.5679	13.27784
-0.36315	1011.1633	1609.0563	8.0452813
-0.30055	2034.4058	2170.0921	10.85046
0.5988	3303.9872	3025.3974	15.126987
0.43335	2335.7873	2491.8592	12.459296
-0.6399	2656.7841	2563.2894	12.816447
-0.437	9250.169	4620.7307	23.103653
-0.47065	1401.7026	1970.3386	9.8516932
-0.53745	2640.585	2739.295	13.696475
-0.6221	3512.9512	3136.22	15.6811
-0.512	3418.493	3974.6405	19.873202
0.46235	3326.8152	3035.9131	15.179566
0.44025	9108.811	4585.2875	22.926438
0.45345	3620.872	3244.9679	16.22484
0.3598	987.77439	1718.8574	8.5942869
0.4691	1962.8568	2322.8	11.614
0.38055	4484.0558	3254.0913	16.270456
-0.53675	3522.6614	2931.3563	14.656781
0.4268	2467.6629	2549.4159	12.747079
-0.35765	4017.8158	3109.9311	15.549655
0.46575	1617.4223	2219.2943	11.096471
0.50605	1347.5234	1966.1308	9.830654
0.45255	6222.6787	3794.943	18.974715
0.08185	909.9153	1546.7655	7.7338273
0.45685	2351.723	2486.1436	12.430718
-0.4437	4578.5066	3433.2047	17.166024
0.5447	2964.0183	2840.3524	14.201762
0.519	4541.894	3328.811	16.644055
-0.6312	4342.8807	3220.2565	16.101283
-0.63025	7369.2003	4212.9006	21.064503
-0.60685	3068.61	2952.4078	14.762039
-0.6118	10254.82	4865.1895	24.325947
-0.62815	7185.991	4987.9799	24.939899
-0.4213	6340.477	3826.086	19.13043
-0.6163	3823.3388	3461.0566	17.305283
-0.5744	4315.0188	3283.4395	16.417197
-0.4225	2237.3391	2503.7873	12.518936
-0.5406	3076.6583	2933.9452	14.669726
-0.5324	9592.15	4705.3692	23.526846
-0.5321	2733.4649	2730.5826	13.652913
0.52145	4217.473	3131.4288	15.657144
-0.1054	906.77645	1591.6745	7.9583725
-0.2902	1612.5724	2078.5112	10.392556
0.5496	1478.6147	2089.6265	10.448133
0.58675	6909.1283	4890.9474	24.454737
0.44915	9484.595	4678.9151	23.394575
-0.54155	3716.574	2948.0251	14.740126
0.5447	2417.0791	2387.0047	11.935024
0.5702	3628.4228	2974.6584	14.873292
0.5556	10607.996	4948.2588	24.741294
0.59615	4058.2038	3664.7967	18.323984
0.5163	2732.5241	3433.8453	17.169226
0.32295	9172.6855	4601.3373	23.006686
0.2965	2355.7289	2361.1525	11.805762
-0.5947	7903.1707	4271.0728	21.355364
-0.41465	1996.9134	2328.3304	11.641652
0.4689	3317.8993	3049.1139	15.245569
0.51555	1963.2568	2388.203	11.941015
-0.39385	3317.962	3036.7561	15.183781
0.1687	3618.1502	2950.0748	14.750374
-0.5777	4443.997	3355.7277	16.778638
-0.487	6816.792	4858.1553	24.290776
-0.49475	8918.5045	4537.1355	22.685677
-0.59065	9089.495	4580.4234	22.902117
-0.48185	9824.82	4762.095	23.810475
0.2853	2005.3121	2319.4229	11.597115
0.5383	5091.961	3453.7734	17.268867
0.3989	3629.4764	3381.8611	16.909306
-0.3806	3029.8682	2709.6431	13.548216
-0.41595	2679.5933	2814.47	14.07235
0.29865	4115.625	3563.488	17.81744
-0.4351	3549.1896	2911.8716	14.559358
0.54215	2767.895	2631.8472	13.159236
-0.56315	5035.6812	3438.2468	17.191234
0.43895	4807.05	4300.3083	21.501541
-0.1381	2544.7184	2645.7803	13.228901
-0.4474	2667.9911	2509.6879	12.548439
0.5709	5227.7876	3480.4421	17.40221
-0.11375	3986.9102	3405.7967	17.028984
0.45185	850.3221	1534.6784	7.6733921
0.42925	4535.748	3381.9046	16.909523
0.21775	1578.1318	2069.6626	10.348313
0.06135	836.08504	1586.3165	7.9315827
0.09865	1174.5689	1825.614	9.1280699
0.44925	2022.7524	2369.4812	11.847406
-0.46825	1473.284	1942.262	9.7113101
0.42985	1954.5876	2241.1528	11.205764
-0.58565	4668.1504	3285.9076	16.429538
0.49655	6243.2385	3798.056	18.99028
0.4917	6077.3697	4587.1103	22.935552
-0.4256	2696.5889	2957.9465	14.789732
0.60295	5700.0858	4188.3815	20.941907
-0.4278	2851.5794	2592.9422	12.964711
0.48375	3282.9152	2785.5413	13.927706
-0.4472	8642.8857	4466.4771	22.332386
0.26255	1603.7255	2189.3509	10.946754
0.56075	3791.0577	3162.6594	15.813297
-0.56255	3208.5883	2956.5679	14.78284
-0.5783	6514.6137	4749.2572	23.746286
-0.637	3189.2723	2902.5765	14.512883
-0.6139	3677.3567	3816.3014	19.081507
0.54055	2339.0408	2533.4884	12.667442
-0.45355	2870.4329	3107.157	15.535785
-0.53475	4424.9005	3196.8775	15.984388
-0.56605	6908.6893	3996.0209	19.980105
0.5702	2006.5094	2391.0117	11.955059
-0.4784	6523.2473	3880.3328	19.401664
-0.61835	4122.649	3166.0924	15.830462
-0.6016	6791.4763	3978.2146	19.891073
-0.43725	2064.0317	2281.0079	11.405039
0.35885	2979.493	2644.2517	13.221259
-0.58115	4326.2572	3175.5471	15.877736
-0.58195	6375.158	4698.1495	23.490748
-0.59175	9731.313	4739.3791	23.696895
-0.5429	6381.1577	4008.4207	20.042104
-0.009	2634.439	2846.198	14.23099
0.42555	3588.2982	3301.1595	16.505797
0.4041	2538.737	2429.9469	12.149734
-0.31605	2018.9171	2325.5718	11.627859
0.50245	1819.0134	2117.9902	10.589951
-0.234	2297.6821	2615.9495	13.079748
0.52795	2957.543	2714.5704	13.572852
0.59395	2709.3826	2791.9034	13.959517
-0.192	3237.2487	2895.9946	14.479973
0.29935	3293.5661	2893.2422	14.466211
-0.42055	3240.4785	3030.1667	15.150834
0.3794	6049.9688	3737.031	18.685155
0.5978	4612.134	3876.6856	19.383428
0.504	4108.6888	3143.0541	15.71527
-0.54075	2346.3233	2421.6831	12.108415
0.4442	7955.997	4285.318	21.42659
-0.02225	2819.697	2813.9212	14.069606
-0.3377	2619.513	2862.0206	14.310103
-0.27385	1142.5104	1703.6632	8.5183161
-0.3641	2199.3501	2500.0725	12.500362
0.60175	6008.2638	3726.154	18.63077
0.46325	9428.403	4665.0343	23.325171
0.01125	1695.0189	2091.2114	10.456057
0.5555	4119.9418	3088.5023	15.442512
0.57605	4235.911	4037.081	20.185405
0.4966	9807.4795	4757.8905	23.789453
0.39095	3001.9552	3319.7126	16.598563
0.56255	3237.625	3157.831	15.789155
-0.02105	4132.2192	3113.7901	15.56895
0.53235	2452.5174	2492.0257	12.460128
0.55295	9124.176	4589.1532	22.945766
-0.1517	3004.2024	2892.0465	14.460232
0.5064	3117.1195	2836.8248	14.184124
0.60855	4473.5198	3222.9198	16.114599
-0.037	1813.2895	2048.359	10.241795
0.4829	1303.0496	1914.9557	9.5747785
-0.51075	4941.9327	3899.9032	19.499516
-0.5922	3253.8053	2905.2659	14.52633
-0.5497	2588.8457	3073.3594	15.366797
-0.50665	9199.4645	4608.0481	23.040241
-0.49895	6673.678	3925.3042	19.626521
0.5544	2525.6646	3111.1141	15.555571
0.55535	9534.8605	4691.2967	23.456483
0.4307	3777.595	3134.7969	15.673984
-0.2318	1660.7769	2190.4412	10.952206
-0.5264	3313.7915	2987.5982	14.937991
-0.56275	3761.9666	3365.4535	16.827267
-0.6305	5062.8773	4324.0448	21.620224
-0.3475	9123.737	4589.0449	22.945224
-0.26355	2734.0371	2548.6126	12.743063
0.587	1855.8556	2118.8042	10.594021
