# Messwerte zu 25x25 und beta: 0.425 mit 50000 Messwerten
# Norm. Magenetisierung || mittlere Clustergroese nach lsqred Durchlaeufen 
-0.536	129.4
-0.632	330
0.568	179
-0.6512	150.2
-0.3248	87.25
0.7344	167.75
0.4272	410
0.7344	418
0.6704	463
0.7408	427
0.8464	236.25
0.6224	473
0.5168	369.5
0.744	292.3333333
0.4848	412.5
0.2544	335
0.6288	199.75
0.4944	91.71428571
-0.7184	106.4285714
-0.4208	118.8333333
-0.3152	229.6666667
-0.5456	65.8
-0.7344	136.8333333
-0.5808	366
-0.8304	471
-0.5328	267
-0.6192	256.3333333
0.5392	108
0.536	191.75
0.648	155.8
0.5712	89.42857143
0.5584	364
0.7216	352.5
0.4368	167.75
0.472	126.6
0.5776	122.875
-0.6352	166.5
0.2672	153.6
-0.2256	71.4
-0.6288	107.5
-0.808	305.3333333
-0.8272	356
-0.7088	301.6666667
-0.7216	471
-0.6512	430
-0.8112	328
-0.7344	474
-0.488	290.3333333
-0.6	126.2
-0.7024	405
-0.5552	392
-0.6768	411
-0.648	179.75
-0.4624	112.2857143
-0.6128	181.25
-0.0272	232.3333333
-0.6544	340
-0.8144	412
-0.7344	487.5
-0.7536	442
-0.6448	184.8
-0.7472	480
-0.7632	332.3333333
-0.52	230.6666667
-0.5936	109.8571429
-0.7312	265.6666667
-0.3024	222
-0.7088	123.5
-0.2608	320
-0.728	217.5
-0.4176	235
-0.6192	107
-0.728	268
-0.4048	188.75
-0.4688	122
-0.7696	377
-0.4912	261.6666667
-0.7536	215.2
-0.5488	315.3333333
0.504	121.8333333
0.5648	242.3333333
-0.136	180.75
-0.4592	94.42857143
0.3376	176.25
0.5904	176.75
0.7312	168.6666667
0.8048	312.3333333
0.8272	461.5
0.8816	553.5
0.7248	496.5
0.3728	236
-0.8656	141.2857143
-0.7536	463.5
-0.8304	118.8571429
-0.7696	246.75
-0.6256	271
-0.4592	166
-0.2448	125.4
0.376	57.33333333
0.4656	361
0.7472	272.6666667
0.8112	334
0.6256	258.6666667
0.648	341.5
0.7152	461.5
-0.0848	169.5
-0.7024	335.5
-0.6576	291.3333333
-0.7472	246.6666667
0.6128	133
0.4112	213
-0.5392	146.1666667
-0.3824	173.75
-0.728	275.3333333
-0.2224	178.5
0.7056	124.6666667
0.648	108
0.744	224
0.6768	390.5
0.6672	227.75
0.5136	376
0.3952	255.6666667
0.216	112.6666667
-0.696	92.875
-0.4112	318.5
-0.8144	307.3333333
-0.0496	350.5
0.2768	158
0.6352	216
0.5712	320
0.6992	373
0.7312	298.6666667
-0.5232	221.5
0.1104	86.5
0.568	132.5
0.5808	137.6
0.392	90.71428571
0.7088	174.5
0.7024	276.6666667
