# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
0.699	1927.848	1284.6421	12.846421
0.5646	994.708	784.1968	7.841968
0.7012	844.562	728.33827	7.2833827
0.665	2644.242	1228.4308	12.284308
0.5234	1889.664	1038.5106	10.385106
0.727	1182.9936	945.87467	9.4587467
0.7686	2234.8	1162.0124	11.620124
0.6902	2217.336	1377.7217	13.777217
0.7162	3168.384	1344.6802	13.446802
0.6876	2052.316	1147.837	11.47837
0.7554	3205.458	1352.5245	13.525245
0.6334	2980.128	1304.1202	13.041202
0.6524	3085.134	1326.8967	13.268967
0.6826	3042.954	1317.7948	13.177948
0.641	1523.586	1088.0522	10.880522
0.385	567.432	624.59306	6.2459306
0.5714	1545.12	940.04188	9.4004188
0.6616	2962.59	1300.2771	13.002771
0.7936	2134.752	1105.2573	11.052573
0.7384	3362.856	1385.3332	13.853332
0.6858	3258.294	1363.6259	13.636259
0.7302	1298.4336	1361.0685	13.610685
0.7368	909.88286	804.71778	8.0471778
0.697	3238.758	1359.5317	13.595317
0.6878	995.892	827.27308	8.2727308
0.753	3322.452	1376.9858	13.769858
0.7534	2170.568	1117.5831	11.175831
0.6994	3187.032	1348.6315	13.486315
0.7586	1684.092	1153.5225	11.535225
0.7488	3236.094	1358.9725	13.589725
0.6744	1233.432	953.58617	9.5358617
0.3706	2721.498	1246.2485	12.462485
0.6426	862.396	824.94579	8.2494579
0.4178	826.136	775.37704	7.7537704
-0.6076	1645.131	969.52758	9.6952758
-0.702	2803.86	1264.9644	12.649644
-0.7042	3221.886	1355.9859	13.559859
-0.6968	1468.197	1067.4211	10.674211
-0.7112	2110.776	1344.209	13.44209
-0.7254	3220.554	1355.7056	13.557056
-0.7566	1661.226	1045.815	10.45815
-0.5558	2981.904	1304.5091	13.045091
-0.5922	2598.288	1217.7096	12.177096
-0.6084	858.474	732.82668	7.3282668
-0.666	2972.136	1302.3702	13.023702
-0.705	1534.131	939.48445	9.3948445
-0.6662	1607.502	958.35775	9.5835775
-0.5674	2741.7	1250.8641	12.508641
-0.6644	2990.118	1306.3041	13.063041
-0.6592	1983.792	1066.7326	10.667326
-0.7242	1101.3864	813.31527	8.1331527
-0.7816	2209.788	1230.1355	12.301355
-0.6024	3253.632	1362.6503	13.626503
-0.6708	2977.464	1303.537	13.03537
-0.6552	2991.672	1306.6434	13.066434
-0.7322	3212.118	1353.9289	13.539289
-0.6502	2070.816	1331.4244	13.314244
-0.6074	2987.676	1305.7705	13.057705
-0.6308	1269.285	873.38891	8.7338891
-0.653	2760.57	1255.1611	12.551611
-0.5974	2852.7	1275.9339	12.759339
-0.6186	2568.54	1210.7187	12.107187
-0.6	1202.463	963.48138	9.6348138
-0.7058	2063.86	1087.1835	10.871835
-0.5378	2949.492	1297.3998	12.973998
-0.711	1030.524	767.29136	7.6729136
-0.6796	3101.562	1330.4248	13.304248
0.4486	1136.714	813.25781	8.1325781
0.7242	2390.2	1168.0243	11.680243
0.7644	3232.542	1358.2265	13.582265
0.7636	2222.664	1233.7143	12.337143
0.6622	1642.245	994.246	9.94246
0.676	1329.225	933.48016	9.3348016
0.699	2073.332	1332.2329	13.322329
0.6906	1242.8448	1104.056	11.04056
0.7008	2017.98	1314.3292	13.143292
0.5892	2957.04	1299.0586	12.990586
0.7374	2907.978	1288.237	12.88237
0.7036	2135.788	1107.5186	11.075186
0.778	3204.792	1352.384	13.52384
0.7394	3407.478	1394.4939	13.944939
0.6882	1965.144	1160.0406	11.600406
0.758	1308.468	967.98843	9.6798843
0.7426	1134.938	868.01269	8.6801269
0.655	3112.884	1332.851	13.32851
0.5454	1435.23	915.4711	9.154711
0.6202	1554.888	943.69907	9.4369907
0.7422	2956.152	1298.8636	12.988636
0.5362	959.484	778.36055	7.7836055
0.5522	2576.088	1212.4964	12.124964
0.655	2927.736	1292.6058	12.926058
0.73	1466.643	1056.5733	10.565733
0.722	3058.272	1321.1075	13.211075
0.6626	1501.275	941.90712	9.4190712
0.7412	1216.8264	997.14729	9.9714729
0.6724	2146	1212.2498	12.122498
0.667	1717.54	995.519	9.95519
0.6964	1524.141	1078.2041	10.782041
0.7366	2080.732	1106.5383	11.065383
0.6982	2003.328	1309.549	13.09549
0.7034	3175.044	1346.0927	13.460927
0.6886	1506.714	995.98423	9.9598423
0.6752	3170.382	1345.1041	13.451041
0.6792	1749.36	1000.8225	10.008225
0.6632	3159.504	1342.7945	13.427945
0.5506	1462.203	1080.7966	10.807966
0.6668	1452.435	914.69946	9.1469946
0.7126	1558.107	1014.3166	10.143166
0.7098	1613.274	1119.6227	11.196227
0.7084	3204.57	1352.3371	13.523371
0.6898	1261.0488	995.78719	9.9578719
0.7334	2152.808	1214.1712	12.141712
0.6484	2963.034	1300.3745	13.003745
0.6892	1952.416	1156.2775	11.562775
0.6714	2056.756	1098.7138	10.987138
