# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
-0.66596543	20015.952	17289.355	38.420789
-0.68809877	62063.482	26746.948	59.437663
-0.64084938	61214.2	26563.314	59.029587
-0.69063704	29640.671	21463.201	47.696002
-0.67805432	40063.943	21662.38	48.138621
-0.68910617	30811.021	22045.394	48.989765
-0.69972346	62771.033	26898.979	59.77551
-0.6856	63306.145	27013.391	60.029757
-0.67829136	61987.61	26730.594	59.401321
-0.66039506	39443.02	21394.02	47.542268
-0.66373333	58114.33	25881.997	57.515549
-0.6858963	20701.4	17077.854	37.950786
-0.63734321	58849.915	26045.283	57.878408
-0.65222716	37788.658	25561.276	56.802836
-0.6517037	38401.572	21165.567	47.034594
-0.65926914	58909.99	26058.574	57.907942
-0.69449877	60742.278	26460.723	58.801606
-0.6696	40933.325	22484.085	49.964633
-0.67940741	60412.978	26388.9	58.642
-0.70820741	41447.003	26770	59.488888
-0.67061728	41336.347	22798.984	50.664408
-0.69607901	40738.86	26540.325	58.9785
-0.67544691	24411.721	21706.314	48.236254
-0.71345185	24759.266	22118.998	49.153329
-0.69979259	63663.702	27089.57	60.199045
-0.68583704	41195.578	21793.985	48.431077
-0.6766716	62321.36	26802.458	59.561018
-0.69982222	41608.983	26822.259	59.60502
-0.69181235	41630.195	22446.773	49.881718
-0.68321975	62248.825	26786.856	59.526347
-0.70320988	63149.95	26980.045	59.955656
-0.69762963	62791.058	26903.27	59.785044
-0.69339259	41943.475	22965.804	51.03512
-0.69207901	63036.253	26955.746	59.901659
-0.64506667	40282.29	21630.335	48.067412
-0.6932642	41206.407	21800.924	48.446497
-0.68937284	42089.583	24128.672	53.619271
-0.71482469	31031.296	20326.397	45.169771
-0.67991111	62531.177	26847.538	59.661196
-0.67505185	30625.345	19682.497	43.738883
-0.66937284	40931.842	26603.112	59.118026
-0.69295802	61287.18	26579.144	59.064764
-0.65600988	41070.088	26648	59.217777
-0.69146667	30155.647	18861.502	41.914449
-0.6547358	23691.355	23370.359	51.934131
-0.69828148	41603.495	23988.937	53.308749
-0.68259753	42193.12	22827.458	50.727685
-0.68200494	30472.487	18757.024	41.682276
-0.7094716	41744.708	21988.324	48.862941
-0.67884444	62494.243	26839.608	59.643574
-0.65135802	41094.712	22179.062	49.286803
-0.67446914	19874.59	17557.183	39.015962
-0.67188148	30915.263	21808.587	48.463527
-0.65815309	59407.945	26168.476	58.152169
-0.69642469	30481.054	22606.523	50.236719
-0.70006914	42094.775	24130.16	53.622577
-0.70177778	63127.478	26975.244	59.944987
-0.70164938	41739.072	26864.155	59.698123
-0.66785185	61760.66	26681.616	59.29248
-0.64839506	58777.825	26029.326	57.842947
-0.6513284	19577.108	16504.662	36.677027
-0.67826173	40769.565	26550.325	59.000722
-0.6913679	62607.717	26863.964	59.697699
-0.6723358	61719.052	26672.627	59.272505
-0.67095309	39977.91	21468.273	47.707273
-0.67742222	40571.392	26485.718	58.857151
-0.65588148	40992.065	22204.787	49.34397
