# Messwerte zu 16x16 und beta: 0.425 mit 50000 Messwerten
# Norm. Magenetisierung || Suszeptibilitaet || Korrelationslaenge || X
1.421875	66.9375	inf	inf
1.390625	35.5299999999999940314410196152	-nan	-nan
1.2421875	80.5374999999999943156581139192	inf	inf
1.421875	42.1812499999999985789145284798	-nan	-nan
1.3515625	90.3125	inf	inf
1.2109375	79.0499999999999971578290569596	inf	inf
1.390625	22.5249999999999985789145284798	-nan	-nan
1.3828125	86.9124999999999943156581139192	inf	inf
1.1953125	52.4166666666666642981908807997	-nan	-nan
0.359375	18.2041666666666657192763523199	-nan	-nan
1.1328125	12.3249999999999992894572642399	-nan	-nan
0.0703125	42.5	inf	inf
-0.15625	20.6125000000000007105427357601	-nan	-nan
-0.34375	60.0666666666666699825327668805	inf	inf
-0.109375	62.6166666666666671403618238401	-nan	-nan
-0.09375	71.3999999999999914734871708788	inf	inf
-0.21875	32.8100000000000022737367544323	-nan	-nan
-0.125	52.9833333333333342807236476801	-nan	-nan
-0.265625	82.0249999999999914734871708788	inf	inf
-0.1953125	89.8875000000000028421709430404	inf	inf
0.3671875	32.0874999999999985789145284798	-nan	-nan
-0.0859375	17.1214285714285701089920621598	inf	inf
-0.1953125	24.3666666666666671403618238401	-nan	-nan
-0.1484375	76.9249999999999971578290569596	inf	inf
-0.140625	31.3649999999999984368059813278	-nan	-nan
-0.171875	54.1166666666666600349344662391	inf	inf
-0.1640625	22.40357142857142846992246632	-nan	-nan
0.046875	60.1374999999999957367435854394	inf	inf
1.140625	36.3374999999999985789145284798	inf	inf
1.2265625	55.8874999999999957367435854394	inf	inf
1.09375	63.5375000000000014210854715202	inf	inf
0.2109375	29.1549999999999975841546984157	inf	inf
-0.1484375	29.3249999999999992894572642399	inf	inf
-0.1875	54.5416666666666714036182384007	-nan	-nan
-0.2421875	52.5583333333333371228945907205	inf	inf
-0.3203125	93.9249999999999971578290569596	inf	inf
-0.3203125	90.0999999999999943156581139192	inf	inf
-0.265625	84.7874999999999943156581139192	inf	inf
-0.21875	82.0249999999999914734871708788	inf	inf
-0.203125	87.9749999999999943156581139192	inf	inf
-0.0625	82.4500000000000028421709430404	inf	inf
-0.109375	73.5249999999999914734871708788	inf	inf
0.765625	26.3499999999999978683717927197	inf	inf
0.0859375	21.6750000000000007105427357601	inf	inf
-0.15625	21.9178571428571409285268600797	-nan	-nan
-0.234375	23.6785714285714270488369947998	-nan	-nan
-0.171875	79.0499999999999971578290569596	inf	inf
-0.171875	69.7000000000000028421709430404	inf	inf
-0.203125	48.7333333333333342807236476801	inf	inf
-0.3046875	88.6124999999999971578290569596	inf	inf
-0.0625	77.9874999999999971578290569596	inf	inf
-0.2421875	36.0187499999999971578290569596	-nan	-nan
-0.3359375	83.2999999999999971578290569596	inf	inf
-0.296875	81.8125	inf	inf
0.0546875	74.5874999999999914734871708788	inf	inf
1.2421875	19.65625	-nan	-nan
0.8125	46.3249999999999957367435854394	-nan	-nan
-0.1640625	15.2468749999999992894572642399	-nan	-nan
-0.125	52.5583333333333371228945907205	inf	inf
1.0546875	50.0083333333333328596381761599	inf	inf
0.84375	28.3687499999999985789145284798	inf	inf
1.2890625	29.21875	inf	inf
1.34375	87.7625000000000028421709430404	inf	inf
1.4296875	45.15625	-nan	-nan
1.40625	87.7625000000000028421709430404	inf	inf
1.4453125	60.4916666666666671403618238401	inf	inf
1.4609375	93.0750000000000028421709430404	inf	inf
0.9609375	72.25	inf	inf
1.3046875	47.6000000000000014210854715202	inf	inf
1.1796875	45.6166666666666600349344662391	inf	inf
1.1015625	32.9375	-nan	-nan
1.1875	24.054999999999999715782905696	-nan	-nan
-0.2734375	38.1649999999999991473487170879	inf	inf
0.203125	76.7124999999999914734871708788	inf	inf
-0.34375	82.4500000000000028421709430404	inf	inf
-0.3203125	88.1875	inf	inf
0.328125	73.3125	inf	inf
1.2578125	51.7083333333333357018091192003	inf	inf
1.25	78.8374999999999914734871708788	inf	inf
1.2734375	75.0125000000000028421709430404	inf	inf
1.1875	77.5625	inf	inf
1.375	57.7999999999999971578290569596	inf	inf
1.3984375	39.2062499999999971578290569596	-nan	-nan
1.3515625	59.5	-nan	-nan
1.34375	33.5749999999999957367435854394	-nan	-nan
0.359375	42.2166666666666614560199377593	inf	inf
-0.0234375	33.6812499999999985789145284798	inf	inf
1.2421875	24.9333333333333300174672331195	inf	inf
1.4140625	67.1499999999999914734871708788	inf	inf
1.3515625	41.2250000000000014210854715202	inf	inf
1.484375	60.2083333333333285963817615993	-nan	-nan
1.1484375	76.7124999999999914734871708788	inf	inf
1.0703125	24.6499999999999985789145284798	-nan	-nan
1.390625	66.0874999999999914734871708788	inf	inf
1.390625	86.7000000000000028421709430404	inf	inf
-0.2421875	59.0749999999999957367435854394	inf	inf
-0.3046875	90.0999999999999943156581139192	inf	inf
-0.125	78.4124999999999943156581139192	inf	inf
-0.0390625	66.9375	inf	inf
-0.1953125	82.875	inf	inf
0.109375	67.3624999999999971578290569596	inf	inf
-0.015625	68	inf	inf
-0.1640625	81.3875000000000028421709430404	inf	inf
0.125	48.3083333333333371228945907205	inf	inf
1.2734375	13.8656249999999996447286321199	inf	inf
1.25	80.9624999999999914734871708788	inf	inf
1.2734375	52.2749999999999985789145284798	inf	inf
0.5	17.3035714285714270488369947998	-nan	-nan
-0.203125	39.1000000000000014210854715202	inf	inf
0.4765625	15.6035714285714277593797305599	-nan	-nan
1.21875	38.1083333333333342807236476801	inf	inf
1.3984375	59.2875000000000014210854715202	inf	inf
